Reports - Group Journal - 01/01/2023 - 31/12/2023 - All - 0 - All,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,,,,,,,,,,,,,,,,,,,,
Company Confidential,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Event Id,PropertyId,Property_Type,Max Depth,Interceptor,InterceptorRemoval,Greater24Hours,Occ Basement,CauseOfBlockage,OSPostcode,OSRoad,OSPostTown,OSCounty,Flood Incident Date,SewTypeCode,FloodCatCode,FloodLevelCode,FloodLocCode,Rainfall Return,Job Creation Date,Asset Owner
514498,1034365,Commercial,Less than 30 mm,,,,,,HA0 4XX,EALING ROAD,WEMBLEY,MIDDLESEX,2023-09-22 00:00:00,F,H,B,I,2,2023-10-11 00:00:00,TWUL (LOCAL)
515065,1184785,Commercial,Less than 30 mm,No,No,No,No,,HA0 4XX,EALING ROAD,WEMBLEY,,2023-10-16 00:00:00,F,C,A,E,0,2023-10-30 00:00:00,TWUL (EX S24)
512851,1183630,Commercial,Less than 30 mm,,,,,FG,HA0 4XX,EALING ROAD,WEMBLEY,MIDDLESEX,2023-06-14 00:00:00,F,B,A,I,0,2023-07-11 00:00:00,TWUL (LOCAL)
514957,1184739,House/ Flat,30 to 299mm,No,No,No,No,UK,HA0 4XX,HIGHMEAD CRESCENT,WEMBLEY,MIDDLESEX,2023-10-25 00:00:00,F,B,A,E,0,2023-10-25 00:00:00,TWUL (LOCAL)
516492,1174806,House/ Flat,Less than 30 mm,,,,,UK,HA0 4XX,BELMONT AVENUE,WEMBLEY,MIDDLESEX,2023-02-04 00:00:00,F,B,A,E,0,2023-12-08 00:00:00,TWUL (EX S24)
516493,1174806,House/ Flat,Less than 30 mm,,,,,PR,HA0 4XX,BELMONT AVENUE,WEMBLEY,MIDDLESEX,2023-03-05 00:00:00,F,B,A,E,0,2023-12-08 00:00:00,TWUL (EX S24)
508075,1181025,Commercial,Less than 30 mm,,,,,FG,E1 1XX,COMMERCIAL ROAD,LONDON,,2023-01-05 00:00:00,C,B,B,I,0,2023-01-06 00:00:00,TWUL (EX S24)
508177,1181079,Commercial,Less than 30 mm,,,,,FG,E1 1XX,COMMERCIAL ROAD,LONDON,,2023-01-05 00:00:00,C,B,B,I,0,2023-01-09 00:00:00,TWUL (EX S24)
511179,1182759,Commercial,Less than 30 mm,,Yes,,Yes,DEF,E1 1XX,COMMERCIAL ROAD,LONDON,,2023-04-17 00:00:00,F,B,Z,I,0,2023-04-18 00:00:00,TWUL (EX S24)
511662,1151992,House/ Flat,Less than 30 mm,No,No,No,No,UK,E1 2XX,ASHFIELD STREET,LONDON,,2023-05-10 00:00:00,F,B,A,E,0,2023-05-10 00:00:00,TWUL (EX S24)
515085,1184795,House/ Flat,Less than 30 mm,,,Yes,,DEBRIS,E1 2XX,BURSLEM STREET,LONDON,,2023-10-29 00:00:00,F,B,A,I,0,2023-10-31 00:00:00,TWUL (EX S24)
516552,1185455,Commercial,Less than 30 mm,No,No,Yes,No,UK,E1 2XX,CHAPMAN STREET,LONDON,,2023-12-09 00:00:00,F,B,A,E,0,2023-12-10 00:00:00,TWUL (EX S24)
511000,1182666,Commercial,Less than 30 mm,,,Yes,Yes,FG,E1 6XX,BRICK LANE,LONDON,,2023-03-31 00:00:00,F,B,B,I,4,2023-04-11 00:00:00,TWUL (LOCAL)
510332,1182276,Commercial,Less than 30 mm,,,,,FG,E1 6XX,BRICK LANE,LONDON,,2023-03-16 00:00:00,C,B,B,I,0,2023-03-17 00:00:00,TWUL (EX S24)
514409,1184501,Commercial,Less than 30 mm,,,,,FG,E1 6XX,BRICK LANE,LONDON,,2023-10-07 00:00:00,F,B,A,I,0,2023-10-09 00:00:00,TWUL (LOCAL)
514810,1082737,House/ Flat,Less than 30 mm,,,,,FG,E10 5XX,VICARAGE ROAD,LONDON,,2023-10-20 00:00:00,F,B,B,I,0,2023-10-23 00:00:00,TWUL (LOCAL)
514791,1052929,House/ Flat,Less than 30 mm,,,Yes,,FG,E10 5XX,VICARAGE ROAD,LONDON,,2023-10-20 00:00:00,F,B,Z,I,0,2023-10-21 00:00:00,TWUL (LOCAL)
